O₃ [µg/m³],NO₂ [µg/m³],SO₂ [µg/m³],PM2.5 [µg/m³],CPC [1/cm³],NOₓ [µg/m³ eq. NO₂]
3.7,31.1,0.9,13.5,7003.0,36.3
2.4,32.7,1.1,14.1,7322.2,40
1.9,32.2,1.2,15.9,7934.7,40.2
1.9,31.6,1.5,16.6,8642.7,41.6
2,31.5,1.2,16.6,7249.1,43.6
2.2,32.2,1,15,7312.9,42.4
2.3,33,1.2,13.7,8553.4,44.4
1.6,35,1.5,14.2,11350.1,63
2,36.6,1.3,14.6,11340.5,66.2
2.9,34.4,1.2,15.6,11728.4,63.7
4.3,32.4,1.1,15.8,12957.0,60.8
3.6,32.1,1.2,16.3,13116.3,67.2
4.8,30.1,1.3,16.1,11988.4,62.4
3.3,32.5,1.3,17.1,14651.8,86
3.2,35.9,2.1,19.2,16693.7,100
2.3,36.6,2.4,20.5,19443.9,110.5
1.8,37.8,2.1,19.3,16491.1,112.5
1.8,37.1,2,19,14766.8,114.4
1.6,36.6,1.9,18.7,14488.7,104.4
1.6,35,1.7,17.7,12600.8,87.1
1.6,36.6,1.7,16,11941.4,77.3
1.4,37.4,1.7,15.9,11559.4,70.9
1.5,35.9,1.8,17.1,9971.0,64.6
1.6,37.3,1.6,16.4,8571.1,56
1.5,36,1.8,16.1,9146.9,56.1
1.5,34.5,1.9,16.1,8982.0,52.9
1.5,32.5,2.2,16.1,9592.0,48.6
1.5,31.7,1.3,16.6,7177.0,50.8
1.4,30.9,1.3,16.1,7464.4,53.7
1.4,32.8,1.4,16.3,9250.1,55.1
1.4,30.4,1.6,15.4,10225.3,59.7
1.6,33.1,1.6,15.7,12522.2,79.1
1.9,33.8,1.7,16,12540.4,90.1
4,33,1.6,14.4,11696.8,71.2
6.3,30.1,1.6,13.1,13341.5,68.7
13.6,25.1,1.6,12.5,9993.0,51.8
20.7,22.1,1.5,14.1,7007.3,41.9
27.7,21.7,1.4,12.9,6772.8,34.8
29.8,22.8,1.1,13,8915.1,31
22.3,31.5,0.9,12.2,9653.5,40.1
16.9,39.1,1.1,13.2,11746.1,53.3
